refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
GA01SUMO-RII11-02-CTDBPP032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57%,71%,87%,86%,94%,100%,100%,13%,,,,16%,100%,100%,100%,100%,74%,90%,100%,83%
GA01SUMO-RII11-02-CTDBPP033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57%,71%,87%,86%,94%,40%,,,,,,16%,100%,100%,100%,100%,74%,90%,10%,
GA01SUMO-RII11-02-CTDMOQ011,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,29%,100%,77%,90%,90%,97%,100%,100%,93%,90%,100%,100%,100%,100%,100%,100%,100%,74%,90%,100%,100%
GA01SUMO-RII11-02-CTDMOQ012,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,29%,100%,77%,90%,90%,97%,100%,100%,93%,90%,100%,100%,100%,100%,100%,100%,100%,74%,90%,100%,100%
GA01SUMO-RII11-02-CTDMOQ013,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,29%,100%,77%,90%,90%,97%,100%,100%,93%,90%,100%,100%,100%,100%,100%,100%,100%,74%,90%,100%,100%
GA01SUMO-RII11-02-CTDMOQ014,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,29%,100%,77%,90%,90%,97%,100%,100%,93%,90%,100%,100%,100%,100%,100%,100%,100%,74%,90%,100%,100%
GA01SUMO-RII11-02-CTDMOQ015,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,29%,100%,77%,90%,90%,97%,100%,100%,93%,90%,100%,100%,100%,100%,100%,100%,100%,74%,90%,100%,100%
GA01SUMO-RII11-02-CTDMOQ016,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,29%,100%,77%,90%,90%,97%,100%,100%,93%,90%,100%,100%,100%,100%,100%,100%,100%,74%,90%,100%,100%
GA01SUMO-RII11-02-CTDMOQ017,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,29%,100%,77%,90%,90%,97%,100%,100%,93%,90%,100%,100%,100%,100%,100%,100%,100%,74%,90%,100%,100%
GA01SUMO-RII11-02-CTDMOQ031,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,29%,87%,,,,,,,,,,,,,,,,,,,
GA01SUMO-RII11-02-CTDMOQ033,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,29%,87%,,,,,,,,,,,,,,,,,,,
GA01SUMO-RII11-02-CTDMOR018,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,29%,100%,77%,90%,90%,97%,100%,100%,93%,90%,100%,100%,100%,100%,100%,100%,100%,74%,90%,100%,100%
GA01SUMO-RII11-02-CTDMOR019,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,29%,100%,77%,90%,90%,97%,100%,100%,93%,90%,100%,100%,100%,100%,100%,100%,100%,74%,90%,100%,100%
GA01SUMO-RII11-02-CTDMOR020,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,29%,100%,77%,90%,90%,97%,100%,100%,93%,90%,100%,100%,100%,100%,100%,100%,100%,74%,90%,100%,100%
GA01SUMO-RII11-02-DOSTAD031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,71%,87%,86%,94%,93%,,,,,,16%,100%,100%,100%,100%,74%,90%,35%,
GA01SUMO-RII11-02-DOSTAD032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57%,71%,87%,86%,94%,100%,100%,13%,,,,16%,100%,100%,100%,100%,74%,90%,100%,83%
GA01SUMO-RII11-02-DOSTAD033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57%,71%,87%,86%,94%,40%,,,,,,16%,100%,100%,100%,100%,74%,90%,10%,
GA01SUMO-RII11-02-FLORDG031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,71%,87%,86%,94%,93%,,,,,,16%,100%,100%,100%,100%,74%,90%,35%,
GA01SUMO-RII11-02-FLORDG032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57%,71%,87%,86%,94%,100%,100%,13%,,,,16%,100%,100%,100%,100%,74%,90%,100%,83%
GA01SUMO-RII11-02-FLORDG033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57%,71%,87%,86%,94%,40%,,,,,,16%,100%,100%,100%,100%,74%,90%,10%,
GA01SUMO-RII11-02-PCO2WC051,,,,,,,,,,,,,,,,,,,,,13%,27%,29%,23%,13%,,,,,,,24%,29%,27%,29%,27%,26%,29%,27%,32%,33%,29%,29%,25%,23%,23%,29%,27%
GA01SUMO-RII11-02-PCO2WC052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,,,,,,,,,,,3%,27%,29%,29%,25%,23%,20%,26%,20%
GA01SUMO-RII11-02-PCO2WC053,,,,,,,,,,,,,,,,,,,,,13%,3%,,,,,,,,,,,,,,,,,,3%,27%,29%,29%,7%,,,,
GA01SUMO-RII11-02-PHSENE041,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,,,,,,13%,,,,,,,,,,,16%,33%,,,,,,,
GA01SUMO-RII11-02-PHSENE042,,,,,,,,,,,,,,,,,,,,,23%,,,,,,,,57%,77%,26%,,,,,,,,,16%,100%,100%,100%,100%,74%,90%,48%,
GA01SUMO-SBD11-04-DOSTAD000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47%,87%,84%,86%,87%,87%,84%,87%,77%,87%,87%,84%,90%,87%,84%,86%,61%,77%,87%,87%
GA01SUMO-SBD11-05-SPKIRB000,,,,,,,,,,,,,,,,,,,,,19%,7%,,,,,,,47%,87%,84%,86%,87%,87%,84%,87%,74%,87%,87%,77%,87%,87%,84%,86%,61%,77%,87%,87%
GA01SUMO-SBD11-06-METBKA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA01SUMO-SBD11-08-NUTNRB000,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,43%,10%,13%,,,57%,100%,35%,69%,100%,100%,94%,100%,97%,100%,100%,100%,100%,100%,100%,100%,74%,83%,94%,93%
GA01SUMO-SBD12-01-OPTAAD000,,,,,,,,,,,,,,,,,,,,,23%,43%,16%,,,26%,33%,39%,93%,100%,100%,100%,100%,100%,100%,100%,87%,100%,93%,94%,87%,100%,100%,100%,74%,77%,87%,87%
GA01SUMO-SBD12-02-FLORTD000,,,,,,,,,,,,,,,,,,,,,19%,,,,,6%,,,47%,87%,84%,86%,87%,87%,84%,87%,74%,87%,80%,77%,90%,87%,84%,86%,61%,77%,87%,87%
GA01SUMO-SBD12-04-PCO2AA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,74%,83%,94%,93%
GA01SUMO-SBD12-05-WAVSSA000,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,87%,7%,,,,,,,
GA01SUMO-SBD12-06-METBKA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA02HYPM-RIM01-02-CTDMOG039,,,,,,,,,,,,,,,,,,,,,23%,73%,,,,,,,3%,,,,,,,,,,,,,,,,,,,
GA02HYPM-WFP02-01-FLORDL000,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,,,,,,,
GA02HYPM-WFP02-03-DOSTAL000,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,,,,,,,
GA02HYPM-WFP02-04-CTDPFL000,,,,,,,,,,,,,,,,,,,,,3%,47%,,,,,,,,,,,,,,,,,,,,,,,,,,
GA02HYPM-WFP02-05-VEL3DL000,,,,,,,,,,,,,,,,,,,,,,20%,,,,,,,,,,,,,,,,,,,,,,,,,,
GA02HYPM-WFP03-01-FLORDL000,,,,,,,,,,,,,,,,,,,,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,
GA02HYPM-WFP03-03-DOSTAL000,,,,,,,,,,,,,,,,,,,,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,
GA02HYPM-WFP03-04-CTDPFL000,,,,,,,,,,,,,,,,,,,,,3%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,
GA02HYPM-WFP03-05-VEL3DL000,,,,,,,,,,,,,,,,,,,,,3%,7%,,,,,,,,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIM01-02-ADCPSL003,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,97%,10%,,,,10%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIM01-02-CTDMOG040,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,90%,16%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIM01-02-CTDMOG041,,,,,,,,,,,,,,,,,,,,,26%,100%,100%,90%,16%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIM01-02-CTDMOG042,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,90%,16%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIM01-02-CTDMOG043,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,90%,16%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIM01-02-CTDMOG044,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,90%,16%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIM01-02-CTDMOG045,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,90%,16%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIM01-02-CTDMOG046,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,90%,16%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIM01-02-CTDMOG047,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,90%,16%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIM01-02-CTDMOG048,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,90%,16%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIM01-02-CTDMOH049,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,90%,16%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIM01-02-CTDMOH050,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,90%,16%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIM01-02-CTDMOH051,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,90%,16%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIS01-03-DOSTAD000,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,93%,23%,,,,10%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIS01-04-PHSENF000,,,,,,,,,,,,,,,,,,,,,45%,100%,100%,63%,6%,,,,7%,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIS01-05-FLORTD000,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,97%,19%,,,,10%,,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01-02-ADCPSL007,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,93%,29%,,,,27%,26%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01-02-CTDMOG060,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,90%,32%,,,,27%,23%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01-02-CTDMOG061,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,90%,32%,,,,27%,23%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01-02-CTDMOG062,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,90%,32%,,,,27%,23%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01-02-CTDMOG063,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,90%,32%,,,,27%,23%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01-02-CTDMOG064,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,90%,32%,,,,27%,23%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01-02-CTDMOG065,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,90%,32%,,,,27%,23%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01-02-CTDMOG066,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,90%,32%,,,,27%,23%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01-02-CTDMOG067,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,90%,32%,,,,27%,23%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01-02-CTDMOG068,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,90%,32%,,,,27%,23%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01-02-CTDMOH069,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,90%,32%,,,,27%,23%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01-02-CTDMOH070,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,90%,32%,,,,27%,23%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01-02-CTDMOH071,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,90%,32%,,,,27%,23%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIS01-03-DOSTAD000,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,100%,3%,,,,27%,26%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIS01-04-PHSENF000,,,,,,,,,,,,,,,,,,,,,35%,93%,97%,87%,,,,,20%,13%,,,,,,,,,,,,,,,,,,
GA03FLMB-RIS01-05-FLORTD000,,,,,,,,,,,,,,,,,,,,,35%,100%,100%,100%,6%,,,,27%,26%,,,,,,,,,,,,,,,,,,
GA05MOAS-GL364-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,97%,100%,100%,100%,100%,73%,94%,93%
GA05MOAS-GL364-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,97%,100%,100%,100%,100%,90%,94%,93%
GA05MOAS-GL364-04-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,97%,100%,100%,100%,100%,93%,94%,93%
GA05MOAS-GL470-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,100%,100%,100%,100%,100%,67%,,
GA05MOAS-GL470-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,100%,100%,100%,100%,100%,67%,,
GA05MOAS-GL470-04-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,97%,100%,100%,100%,100%,63%,,
GA05MOAS-GL493-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,55%,97%,100%,100%,100%,100%,100%,100%,40%,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL493-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,100%,40%,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL493-04-CTDGVM000,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,100%,100%,100%,40%,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL494-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL494-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL494-04-CTDGVM000,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL495-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL495-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL495-04-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL496-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,58%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,,,,,,,,,,,,,,,
GA05MOAS-GL496-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,58%,100%,100%,100%,100%,100%,100%,100%,100%,48%,,,,,,,,,,,,,,,,,,
GA05MOAS-GL496-04-CTDGVM000,,,,,,,,,,,,,,,,,,,,,58%,100%,100%,100%,100%,100%,100%,100%,100%,48%,,,,,,,,,,,,,,,,,,
GA05MOAS-GL538-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,100%,100%,100%,97%,100%,100%,100%,100%,100%,33%,3%,,,,,,,,
GA05MOAS-GL538-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,100%,100%,100%,100%,100%,100%,100%,100%,100%,33%,3%,,,,,,,,
GA05MOAS-GL538-04-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,100%,100%,100%,100%,100%,100%,100%,100%,100%,33%,3%,,,,,,,,
GA05MOAS-PG562-01-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,100%,100%,100%,100%,100%,94%,100%,81%,,,,,,,,,,,
GA05MOAS-PG562-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,100%,100%,100%,100%,100%,94%,100%,81%,,,,,,,,,,,
GA05MOAS-PG562-03-FLORTM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,,,,,,,,,,,,
GA05MOAS-PG562-04-FLORTO000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,,,,,,,,,,,,
GA05MOAS-PG562-05-NUTNRM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,100%,100%,100%,100%,100%,94%,100%,81%,,,,,,,,,,,
GA05MOAS-PG562-06-PARADM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,100%,100%,100%,100%,100%,94%,100%,81%,,,,,,,,,,,
GA05MOAS-PG563-01-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,100%,97%,,,,,,,,,,,,,,,,,
GA05MOAS-PG563-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,97%,97%,,,,,,,,,,,,,,,,,
GA05MOAS-PG563-03-FLORTM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-PG563-04-FLORTO000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-PG563-05-NUTNRM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,100%,97%,,,,,,,,,,,,,,,,,
GA05MOAS-PG563-06-PARADM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,100%,97%,,,,,,,,,,,,,,,,,
GA05MOAS-PG578-01-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,100%,100%,100%,96%,100%,97%,94%,57%
GA05MOAS-PG578-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,100%,100%,100%,100%,100%,97%,94%,57%
GA05MOAS-PG578-03-FLORTM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,100%,100%,100%,100%,100%,100%,63%
GA05MOAS-PG578-04-FLORTO000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-PG578-05-NUTNRM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,100%,100%,100%,96%,100%,100%,100%,63%
GA05MOAS-PG578-06-PARADM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,100%,100%,97%,100%,100%,97%,94%,57%
GA05MOAS-PG580-01-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-PG580-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-PG580-03-FLORTM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-PG580-04-FLORTO000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-PG580-05-NUTNRM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-PG580-06-PARADM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI01SUMO-RID16-01-OPTAAD000,,,,,,,,,,,,,,,10%,,,,,,,,,30%,3%,45%,87%,87%,83%,87%,84%,86%,6%,40%,84%,73%,77%,87%,87%,84%,90%,100%,29%,,,,,
GI01SUMO-RID16-02-FLORTD000,,,,,,,,,,,,,,,,,,,,,,,,63%,16%,45%,87%,87%,83%,87%,84%,86%,6%,40%,84%,80%,90%,87%,87%,84%,90%,100%,29%,,,,,
GI01SUMO-RID16-03-CTDBPF000,,,,,,,,,,,,,,,30%,,,,,,,,,53%,,,3%,,,,,,,,,,71%,32%,20%,23%,27%,13%,6%,,,,,
GI01SUMO-RID16-04-VELPTA000,,,,,,,,,,,,,,,30%,,,,,,,,,67%,16%,52%,93%,84%,90%,94%,94%,93%,6%,43%,90%,90%,94%,100%,60%,,,,,,,,,
GI01SUMO-RID16-05-PCO2WB000,,,,,,,,,,,,,,,3%,,,,,,,,,13%,3%,,,,,,,,,,,,6%,,,,,,,,,,,
GI01SUMO-RID16-06-DOSTAD000,,,,,,,,,,,,,,,,,,,,,,,,,,45%,87%,87%,83%,87%,84%,86%,6%,40%,84%,70%,77%,87%,87%,84%,93%,100%,29%,,,,,
GI01SUMO-RID16-07-NUTNRB000,,,,,,,,,,,,,,,,,,,,,,,,,,55%,100%,29%,,,,,,,,,71%,100%,100%,100%,100%,100%,29%,,,,,
GI01SUMO-RID16-08-SPKIRB000,,,,,,,,,,,,,,,23%,,,,,,,,,27%,16%,45%,83%,87%,83%,87%,84%,86%,,40%,84%,80%,90%,87%,87%,84%,90%,100%,29%,,,,,
GI01SUMO-RII11-02-ADCPSN010,,,,,,,,,,,,,,,30%,,,,,,,,,,,55%,100%,100%,73%,94%,100%,100%,3%,77%,65%,97%,100%,100%,100%,100%,100%,100%,32%,,6%,30%,,
GI01SUMO-RII11-02-CTDBPP031,,,,,,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,27%,,,,,,,,71%,100%,100%,100%,100%,100%,32%,,,,,
GI01SUMO-RII11-02-CTDBPP032,,,,,,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,53%,81%,100%,100%,3%,3%,,,71%,100%,100%,100%,90%,,,,,,,
GI01SUMO-RII11-02-CTDBPP033,,,,,,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,53%,81%,100%,100%,3%,60%,65%,37%,71%,100%,100%,100%,100%,100%,32%,,,20%,,
GI01SUMO-RII11-02-CTDMOQ011,,,,,,,,,,,,,,,30%,,,,,,,,,,,55%,100%,100%,57%,84%,100%,100%,3%,63%,65%,83%,100%,100%,100%,100%,100%,100%,32%,,,23%,,
GI01SUMO-RII11-02-CTDMOQ012,,,,,,,,,,,,,,,30%,,,,,,,,,,,55%,100%,100%,57%,84%,100%,100%,3%,63%,65%,83%,100%,100%,100%,100%,100%,100%,32%,,,23%,,
GI01SUMO-RII11-02-CTDMOQ013,,,,,,,,,,,,,,,30%,,,,,,,,,,,55%,100%,100%,57%,84%,100%,100%,3%,63%,65%,83%,100%,100%,100%,100%,100%,100%,32%,,,23%,,
GI01SUMO-RII11-02-CTDMOQ014,,,,,,,,,,,,,,,30%,,,,,,,,,,,55%,100%,100%,57%,84%,100%,100%,3%,63%,65%,83%,100%,100%,100%,100%,100%,100%,32%,,,23%,,
