node,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
GA05MOAS-GL496,,,,,,,,,,,,,,,,,,,,,58%,100%,100%,100%,100%,100%,100%,100%,100%,47%,,,,,,,,,,,,,,,,,,
GA05MOAS-GL538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,100%,100%,100%,99%,100%,100%,100%,100%,100%,33%,3%,,,,,,,,
GA05MOAS-PG562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,67%,67%,67%,67%,67%,62%,77%,54%,,,,,,,,,,,
GA05MOAS-PG563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,66%,65%,,,,,,,,,,,,,,,,,
GA05MOAS-PG578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,72%,83%,83%,82%,83%,82%,80%,49%
GA05MOAS-PG580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI01SUMO-RID16,,,,,,,,,,,,,,,12%,,,,,,,,,32%,7%,36%,68%,58%,53%,55%,54%,55%,3%,25%,53%,49%,72%,73%,66%,57%,61%,64%,19%,,,,,
GI01SUMO-RII11,,,,,,,,,,,,,,,17%,,,,,,,,,,,46%,83%,82%,43%,58%,68%,66%,2%,34%,34%,39%,70%,79%,79%,79%,78%,68%,22%,,0%,12%,,
GI01SUMO-SBD11,,,,,,,,,,,,,,,12%,,,,,,,,,,3%,36%,68%,69%,67%,69%,62%,,,,,,31%,44%,43%,42%,46%,50%,15%,,,4%,,
GI01SUMO-SBD12,,,,,,,,,,,,,,,23%,,,,,,,,,1%,,33%,62%,62%,61%,62%,57%,10%,,8%,9%,,56%,79%,79%,78%,69%,46%,12%,,,,,
GI02HYPM-RIM01,,,,,,,,,,,,,,,60%,100%,100%,97%,84%,39%,,,,,,48%,100%,97%,40%,,,,,,,,68%,32%,,,,,,,,,,
GI02HYPM-WFP02,,,,,,,,,,,,,,,41%,74%,67%,28%,,,,,,,,,,,,,,,,,,,31%,10%,,,,,,,,,,
GI03FLMA-RI000,,,,,,,,,,,,,,,63%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,52%,,,,,,,,,,,
GI03FLMA-RIM01,,,,,,,,,,,,,,,60%,100%,100%,94%,75%,,,,,,,42%,100%,100%,,,,,,,,,65%,100%,100%,83%,,,,,,,,
GI03FLMA-RIS01,,,,,,,,,,,,,,,59%,100%,100%,91%,68%,,,,,,,27%,63%,59%,,,,,,,,,40%,61%,,,,,,,,,,
GI03FLMB-RI000,,,,,,,,,,,,,,,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,55%,,,,,,,,,,,
GI03FLMB-RIM01,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,35%,100%,100%,57%,,,,,,,,60%,92%,92%,80%,22%,,,,,,,
GI03FLMB-RIS01,,,,,,,,,,,,,,,46%,100%,100%,99%,91%,11%,,,,,,4%,,,13%,,,,,,,,38%,65%,68%,17%,,,,,,,,
GI05MOAS-GL469,,,,,,,,,,,,,,,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL477,,,,,,,,,,,,,,,70%,100%,100%,100%,100%,100%,100%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL478,,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL484,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,,,,,,40%,42%,,,,,,,,
GI05MOAS-GL485,,,,,,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,63%,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL495,,,,,,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,13%,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74%,100%,60%,81%,100%,100%,17%,,,,,
GI05MOAS-PG528,,,,,,,,,,,,,,,,,,,,,,,,,,32%,67%,67%,67%,67%,63%,67%,35%,,,,,,,,,,,,,,,
GI05MOAS-PG564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP02HYPM-RIM01,,,,,,,,,,,,,,,,,,,,,,,,87%,100%,100%,100%,100%,100%,100%,13%,,,,,,,74%,,,,,,,,,,
GP02HYPM-WFP02,18%,93%,90%,94%,93%,100%,98%,82%,,,,30%,100%,98%,100%,54%,,,,,,,,81%,95%,96%,91%,94%,93%,69%,6%,,,,,,,11%,,,,,,,,,,
GP02HYPM-WFP03,19%,85%,93%,98%,95%,97%,98%,83%,,,,23%,75%,73%,73%,40%,,,,,,,,85%,94%,91%,93%,90%,83%,65%,1%,,,,,,,25%,,,,,,,,,,
GP03FLMA-RIM01,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,24%,,,,,,,,,,,
GP03FLMA-RIS01,,,,,,,,,,,,43%,100%,100%,100%,100%,66%,,,,,,,80%,100%,98%,100%,99%,99%,99%,98%,97%,42%,,,,24%,,,,,,,,,,,
GP03FLMB-RIM01,26%,100%,100%,100%,97%,100%,100%,96%,,,,34%,92%,92%,92%,92%,27%,,,,,,,68%,92%,92%,92%,92%,92%,92%,92%,29%,,,,,,,,22%,28%,16%,,,,,,
GP03FLMB-RIS01,25%,96%,100%,100%,100%,100%,100%,93%,,,,37%,100%,100%,100%,100%,28%,,,,,,,73%,100%,100%,98%,98%,59%,,5%,,,,,,,,,2%,,,,,,,,
GP05MOAS-GL276,,,,,,,,,,,,36%,67%,67%,67%,67%,67%,67%,67%,67%,39%,13%,34%,2%,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL361,,,,,,,,25%,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL362,,,,,,,,,,,,,,6%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL363,42%,100%,100%,100%,100%,100%,100%,100%,23%,23%,71%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL364,39%,100%,99%,100%,100%,72%,61%,36%,10%,17%,81%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL365,41%,100%,100%,86%,33%,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,100%,87%,73%,100%,100%,58%,42%,,,,,
GP05MOAS-GL453,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL523,,,,,,,,,,,,,,,,,,,,,,,,77%,100%,100%,100%,100%,100%,99%,100%,100%,82%,3%,,,,,,,,,,,,,,
GP05MOAS-GL525,,,,,,,,,,,,,,,,,,,,,,,,97%,100%,100%,100%,100%,100%,100%,100%,100%,26%,,,,,,,,,,,,,,,
GP05MOAS-GL537,,,,,,,,,,,,,,,,,,,,,,,,70%,100%,100%,100%,100%,100%,100%,100%,99%,29%,10%,,,,,,,,,,,,,,
GP05MOAS-PG514,,,,,,,,,,,,,,,,,,,,,,,,41%,43%,43%,43%,43%,23%,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG515,,,,,,,,,,,,,,,,,,,,,,,1%,21%,22%,22%,22%,22%,22%,22%,20%,7%,,,,,,,,,,,,,,,,
GP05MOAS-PG575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS01SUMO-RID16,,,,,,,,,,,,,,,,,,,,34%,85%,86%,49%,5%,18%,48%,0%,,,50%,85%,86%,86%,85%,85%,85%,83%,75%,86%,85%,79%,80%,81%,82%,83%,63%,17%,
GS01SUMO-RII11,,,,,,,,,,,,,,,,,,,,17%,50%,49%,29%,5%,19%,35%,,,13%,62%,67%,59%,56%,56%,41%,28%,32%,40%,31%,41%,27%,64%,79%,69%,67%,65%,60%,54%
GS01SUMO-SBD11,,,,,,,,,,,,,,,,,,,,28%,67%,68%,39%,5%,22%,45%,,,16%,69%,67%,68%,69%,58%,67%,50%,67%,64%,63%,67%,31%,69%,67%,68%,69%,66%,67%,67%
GS01SUMO-SBD12,,,,,,,,,,,,,,,,,,,,28%,81%,81%,67%,17%,23%,63%,59%,64%,63%,72%,81%,81%,81%,81%,80%,81%,75%,75%,81%,81%,76%,53%,47%,48%,48%,45%,46%,36%
GS02HYPM-RIM01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45%,26%,,,,,,,,,,,,,,,,,
GS02HYPM-WFP02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41%,4%,,,,,,,,,,,,,,,,,
GS02HYPM-WFP03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36%,15%,,,,,,,,,,,,,,,,,
GS03FLMA-RIM01,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,10%,,,,,,48%,84%,13%,,,,,,,,,,,,,,,,
GS03FLMA-RIS01,,,,,,,,,,,,,,,,,,,,7%,71%,81%,69%,8%,,,,,,31%,49%,2%,,,,,,,,,,,,,,,,
GS03FLMB-RIM01,,,,,,,,,,,,,,,,,,,,18%,100%,100%,93%,3%,,,,,,52%,100%,24%,,,,,,,,,,,,,,,,
GS03FLMB-RIS01,,,,,,,,,,,,,,,,,,,,18%,100%,99%,83%,11%,,,,,,33%,65%,14%,,,,,,,,,,,,,,,,
GS05MOAS-GL484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS05MOAS-GL485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS05MOAS-GL486,,,,,,,,,,,,,,,,,,,,29%,100%,100%,100%,100%,100%,100%,100%,100%,100%,39%,,,,,,,,,,,,,,,,,,
GS05MOAS-GL524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39%,87%,,,,,,,,,,,,,,,,,
GS05MOAS-GL560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,57%,,,,,,,
GS05MOAS-GL561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,100%,100%,97%,100%,52%,7%,,,,,,,,,,,,
GS05MOAS-PG565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,67%,67%,67%,63%,65%,67%,67%,65%,24%,41%,4%,,,,,,,
GS05MOAS-PG566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19%,50%,50%,50%,50%,50%,56%,67%,35%,,,,,,,,,,
